genus_vernacular;species_vernacular;genus_scientific;genus_author;species_scientific;primary_use;secondary_use;wild
Windröschen, Anemone;Monte Baldo-W., Tiroler W.;Anemone;L.;A. baldensis;Z;NA;NA
Windröschen, Anemone;Spanische A.;Anemone;L.;A. pavoniana;Z;NA;NA
Windröschen, Anemone;Felsen-W.;Anemone;L.;A. rupicola;Z;NA;NA
Windröschen, Anemone;Großes W.;Anemone;L.;A. sylvestris;Z;NA;NA
Windröschen, Anemone;Pazifisches W.;Anemone;L.;A. multifida;Z;NA;NA
Windröschen, Anemone;Virginische A.;Anemone;L.;A. virginiana;Z;NA;NA
Windröschen, Anemone;Langkopf-A.;Anemone;L.;A. cylindrica;Z;NA;NA
Windröschen, Anemone;Richardson-A.;Anemone;L.;A. richardsonii;Z;NA;NA
Windröschen, Anemone;Bach-W.;Anemone;L.;A. rivularis;Z;NA;NA
Windröschen, Anemone;Westhimalaische A.;Anemone;L.;A. tetrasepala;Z;NA;NA
Windröschen, Anemone;Narzissen-W., Berghähnlein;Anemone;L.;A. narcissiflora;Z;NA;W
Windröschen, Anemone;Kanadisches W.;Anemone;L.;A. canadensis;Z;NA;NA
Wasserblatt;Kanadisches W.;Hydrophyllum;L.;H. canadense;Z;NA;NA
Windröschen, Anemone;Narzissen-W.,Berghähnlein;Anemone;L.;A. narcissiflora;Z;NA;NA
Windröschen, Anemone;Fiederblättrige A.;Anemone;L.;A. glaucifolia;Z;NA;NA
Windröschen, Anemone;Löffelblättrige A.;Anemone;L.;A. trullifolia f.;Z;NA;NA
Windröschen, Anemone;Stumpflappige A.;Anemone;L.;A. obtusiloba;Z;NA;NA
Windröschen, Anemone;Apenninen-W.;Anemone;L.;A. apennina;Z;NA;NA
Windröschen, Anemone;Balkan-W.;Anemone;L.;A. blanda;Z;NA;NA
Witwenblume;Balkan-W.;Knautia;L.;K. drymeia;Z;NA;W
Windröschen, Anemone;Baikal-W.;Anemone;L.;A. baicalensis;Z;NA;NA
Windröschen, Anemone;Rückwärtsgebogene A.;Anemone;L.;A. reflexa;Z;NA;NA
Windröschen, Anemone;Gelbes W.;Anemone;L.;A. ranunculoides;Z;NA;NA
Windröschen, Anemone;Dreiblatt-W.;Anemone;L.;A. trifolia;Z;NA;NA
Windröschen, Anemone;Altai-W.;Anemone;L.;A. altaica;Z;NA;NA
Windröschen, Anemone;Busch-W.;Anemone;L.;A. nemorosa;Z;NA;W
Leberblümchen;Leberblümchen;Hepatica;MILL.;H. nobilis;Z;NA;W
Leberblümchen;Siebenbürger L.;Hepatica;MILL.;H. transsilvanica;Z;NA;NA
Küchenschelle, Kuhschelle;Alpen-K.;Pulsatilla;L.;P. alpina;Z;NA;W
Küchenschelle, Kuhschelle;Goldgelbe K.;Pulsatilla;L.;P. aurea;Z;NA;W
Küchenschelle, Kuhschelle;Brocken-K., Brockenanemone;Pulsatilla;L.;P. alpina subsp. alba;Z;NA;W
Küchenschelle, Kuhschelle;Frühlings-K.;Pulsatilla;L.;P. vernalis;Z;NA;W
Küchenschelle, Kuhschelle;Gelbliche K.;Pulsatilla;L.;P. flavescens;Z;NA;NA
Küchenschelle, Kuhschelle;Finger-K., Stern-K.;Pulsatilla;L.;P. patens;Z;NA;W
Küchenschelle, Kuhschelle;Berg-K.;Pulsatilla;L.;P. montana;Z;NA;NA
Küchenschelle, Kuhschelle;Kaukasische K.;Pulsatilla;L.;P. albana;Z;NA;NA
Küchenschelle, Kuhschelle;Wiesen-K.;Pulsatilla;L.;P. pratensis;Z;NA;W
Kümmel;Wiesen-K.;Carum;L.;C. carvi;N;NA;W
Küchenschelle, Kuhschelle;Slawische K.;Pulsatilla;L.;P. slavica;Z;NA;NA
Küchenschelle, Kuhschelle;Steirische K.;Pulsatilla;L.;P. styriaca;Z;NA;NA
Küchenschelle, Kuhschelle;Gewöhnliche K.;Pulsatilla;L.;P. vulgaris;Z;NA;W
Krähenbeere;Gewöhnliche K.;Empetrum;L.;E. nigrum;Z;NA;W
Kammquecke;Gewöhnliche K.;Agropyron;L.;A. cristatum;N;NA;NA
Küchenschelle, Kuhschelle;Große K.;Pulsatilla;L.;P. grandis;Z;NA;W
Kapuzinerkresse;Große K.;Tropaelum;L.;T. majus;Z;N;NA
Kreuzblume;Große K.;Polygala;L.;P. major;Z;NA;NA
Waldrebe;Dsungarische W.;Clematis;L.;C. songarica;Z;NA;NA
Waldrebe;Ganzblättrige W.;Clematis;L.;C. integrifolia;Z;NA;NA
Waldrebe;Addison-W.;Clematis;L.;C. addisonii;Z;NA;NA
Waldrebe;Großblättrige W., Trompeten-W.;Clematis;L.;C. heracleifolia;Z;NA;NA
Waldrebe;Aufrechte W.;Clematis;L.;C. recta;Z;NA;W
Waldrebe;Alpen-W., Alpenrebe;Clematis;L.;C. alpina;Z;NA;W
Waldrebe;Großblumige W.;Clematis;L.;C. macropetala;Z;NA;NA
Waldrebe;Armand-W.;Clematis;L.;C. armandii;Z;NA;NA
Waldrebe;Jackman-W.;Clematis;L.;C. × jackmanii;Z;NA;NA
Waldrebe;Wollige W.;Clematis;L.;C. lanuginosa;Z;NA;NA
Wolfsmilch;Wollige W.;Euphorbia;L.;E. villosa;Z;NA;W
Waldrebe;Rehder-W.;Clematis;L.;C. rehderiana;Z;NA;NA
Waldrebe;Mongolische W.;Clematis;L.;C. tangutica;Z;NA;NA
Waldrebe;Gewöhnliche W.;Clematis;L.;C. vitalba;Z;NA;W
Wunderblume;Gewöhnliche W.;Mirabilis;L.;M. jalapa;Z;NA;NA
Waldrebe;Brennende W., Mandel-W.;Clematis;L.;C. flammula;Z;NA;NA
Waldrebe;Krugblütige W.;Clematis;L.;C. viorna;Z;NA;NA
Waldrebe;Italienische W.;Clematis;L.;C. viticella;Z;NA;NA
Falscher Wanzensame;Falscher Wanzensame;Trautvetteria;FISCH;T. caroliniensis;Z;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Gewöhnlicher W.;Ranunculus;L.;R. aquatilis;Z;NA;W
Wundklee;Gewöhnlicher W.;Anthyllis;L.;A. vulneraria;N;NA;W
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Pyrenäen-H.;Ranunculus;L.;R. pyrenaeus;Z;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Weißer H.;Ranunculus;L.;R. amplexicaulis;Z;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Herzblättriger H.;Ranunculus;L.;R. parnassifolius;Z;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Gekerbter H.;Ranunculus;L.;R. crenatus;Z;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Alpen-H.;Ranunculus;L.;R. alpestris;Z;NA;W
Helmkraut;Alpen-H.;Scutellaria;L.;S. alpina;Z;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Eisenhutblättriger H.;Ranunculus;L.;R. aconitifolius;Z;NA;W
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Platanenblättriger H.;Ranunculus;L.;R. platanifolius;Z;NA;W
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Scharbockskraut;Ranunculus;L.;R. ficaria;Z;NA;W
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Schildblatt-H.;Ranunculus;L.;R. thora;Z;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Grasblättriger H.;Ranunculus;L.;R. gramineus;Z;NA;NA
