vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Terrakotta-Sch., Kupfer-Sch.;– I. fulva KER GAWL.;Terrakotta-Sch., Kupfer-Sch.;I. fulva KER GAWL.;I. fulva KER GAWL.;I. fulva KER GAWL.;I. fulva KER GAWL.;I. fulva
Gras-Sch., Pflaumenduft-Sch.;– I. graminea L.;Gras-Sch., Pflaumenduft-Sch.;I. graminea L.;I. graminea L.;I. graminea L.;I. graminea L.;I. graminea
Verschiedenfarbige Sch.;– I. versicolor L.;Verschiedenfarbige Sch.;I. versicolor L.;I. versicolor L.;I. versicolor L.;I. versicolor L.;I. versicolor
Orientalische Sch., Schmetterlings-Sch.;– I. orientalis MILL.53* B blassblau bis;Orientalische Sch., Schmetterlings-Sch.;I. orientalis MILL.53* B blassblau bis;I. orientalis MILL.53* B blassblau bis;I. orientalis MILL.;I. orientalis MILL.;I. orientalis
Asiatische Sumpf-Sch.;– I. laevigata FISCH. et C. A. MEY.;Asiatische Sumpf-Sch.;I. laevigata FISCH. et C. A. MEY.;I. laevigata FISCH. et C. A. MEY.;I. laevigata FISCH. et C. A. MEY.;I. laevigata FISCH. et C. A. MEY.;I. laevigata
Abessinische G., Stern-G.;– G. callianthus MARAIS1* Perigonröhre <;Abessinische G., Stern-G.;G. callianthus MARAIS1* Perigonröhre <;G. callianthus MARAIS1* Perigonröhre <;G. callianthus MARAIS;G. callianthus MARAIS;G. callianthus
Eintönige G.;– G. tristis L.;Eintönige G.;G. tristis L.;G. tristis L.;G. tristis L.;G. tristis L.;G. tristis
Primel-G.;– G. dalenii VAN GEEL;Primel-G.;G. dalenii VAN GEEL;G. dalenii VAN GEEL;G. dalenii VAN GEEL;G. dalenii VAN GEEL;G. dalenii
Gegenblütige G.;– G. oppositiflorus HERB.;Gegenblütige G.;G. oppositiflorus HERB.;G. oppositiflorus HERB.;G. oppositiflorus HERB.;G. oppositiflorus HERB.;G. oppositiflorus
Schmetterlings-G.;– G. papilio HOOK. f.;Schmetterlings-G.;G. papilio HOOK. f.;G. papilio HOOK. f.;G. papilio HOOK. f.;G. papilio HOOK. f.;G. papilio f.
Fleischrosa G.;– G. carneus D. DELAROCHE5* B leuchtend ;Fleischrosa G.;G. carneus D. DELAROCHE5* B leuchtend ;G. carneus D. DELAROCHE5* B leuchtend ;G. carneus D. DELAROCHE;G. carneus D. DELAROCHE;G. carneus
Blutrote G.;– G. cruentus MOORE;Blutrote G.;G. cruentus MOORE;G. cruentus MOORE;G. cruentus MOORE;G. cruentus MOORE;G. cruentus
Kardinals-G.;– G. cardinalis CURTIS;Kardinals-G.;G. cardinalis CURTIS;G. cardinalis CURTIS;G. cardinalis CURTIS;G. cardinalis CURTIS;G. cardinalis
Acker-G., Feld-Siegwurz;– G. italicus MILL.3* Staubbeutel höchst;Acker-G., Feld-Siegwurz;G. italicus MILL.3* Staubbeutel höchst;G. italicus MILL.3* Staubbeutel höchst;G. italicus MILL.;G. italicus MILL.;G. italicus
Dachzieglige G., Wiesen-Siegwurz;– G. imbricatus L.;Dachzieglige G., Wiesen-Siegwurz;G. imbricatus L.;G. imbricatus L.;G. imbricatus L.;G. imbricatus L.;G. imbricatus
Illyrische S.;– G. illyricus W. D. J. KOCH;Illyrische S.;G. illyricus W. D. J. KOCH;G. illyricus W. D. J. KOCH;G. illyricus W. D. J. KOCH;G. illyricus W. D. J. KOCH;G. illyricus
Olivier-K.;– C. olivieri J. GAY;Olivier-K.;C. olivieri J. GAY;C. olivieri J. GAY;C. olivieri J. GAY;C. olivieri J. GAY;C. olivieri
Korolkow-K;. – C. korolkowii REGEL ex MAW;Korolkow-K.;C. korolkowii REGEL ex MAW;C. korolkowii REGEL ex MAW;C. korolkowii REGEL ex MAW;C. korolkowii REGEL ex MAW;C. korolkowii
Goldbrokat-K., Schmalblättriger K., Goldlack-K.;– C. angustifolius WESTON6* Perigonzipfe;Goldbrokat-K., Schmalblättriger K., Goldlack-K.;C. angustifolius WESTON6* Perigonzipfe;C. angustifolius WESTON6* Perigonzipfe;C. angustifolius WESTON;C. angustifolius WESTON;C. angustifolius
Ankara-K., Kleinasiatischer Gold-K.;– C. ancyrensis (HERB.) MAW7* Knollenhül;Ankara-K., Kleinasiatischer Gold-K.;C. ancyrensis (HERB.) MAW7* Knollenhül;C. ancyrensis (HERB.) MAW7* Knollenhül;C. ancyrensis (HERB.) MAW;C. ancyrensis (HERB.) MAW;C. ancyrensis
Kleiner K., Balkan-K.;– C. chrysanthus (HERB.) HERB.8 (2) Stau;Kleiner K., Balkan-K.;C. chrysanthus (HERB.) HERB.8 (2) Stau;C. chrysanthus (HERB.) HERB.8 (2) Stau;C. chrysanthus (HERB.) HERB.;C. chrysanthus (HERB.) HERB.;C. chrysanthus
Glatter K.;– C. laevigatus BORY et CHAUB.8* Staubbe;Glatter K.;C. laevigatus BORY et CHAUB.8* Staubbe;C. laevigatus BORY et CHAUB.8* Staubbe;C. laevigatus BORY et CHAUB.;C. laevigatus BORY et CHAUB.;C. laevigatus
Taurus-K.;– C. fleischeri J. GAY9* Griffel in 3 Äs;Taurus-K.;C. fleischeri J. GAY9* Griffel in 3 Äs;C. fleischeri J. GAY9* Griffel in 3 Äs;C. fleischeri J. GAY;C. fleischeri J. GAY;C. fleischeri
Sieber-K., Griechischer Zwerg-K.;– C. sieberi J. GAYÄhnlich: Netz-K. – C.;Sieber-K., Griechischer Zwerg-K.;C. sieberi J. GAYÄhnlich: Netz-K. – C.;C. sieberi J. GAYÄhnlich: Netz-K. – C.;C. sieberi J. GAY;C. sieberi J. GAY;C. sieberi
Toskanischer K., Rosen-K;. – C. etruscus PARL.;Toskanischer K., Rosen-K.;C. etruscus PARL.;C. etruscus PARL.;C. etruscus PARL.;C. etruscus PARL.;C. etruscus
Zweiblütiger K., Schottischer K.;– C. biflorus MILL.;Zweiblütiger K., Schottischer K.;C. biflorus MILL.;C. biflorus MILL.;C. biflorus MILL.;C. biflorus MILL.;C. biflorus
Imperato-K., Teufels-K.;– C. imperati TEN.;Imperato-K., Teufels-K.;C. imperati TEN.;C. imperati TEN.;C. imperati TEN.;C. imperati TEN.;C. imperati
Frühlings-K;. – P. vernalis (L.) MILL.;Frühlings-K.;P. vernalis (L.) MILL.;P. vernalis (L.) MILL.;P. vernalis (L.) MILL.;P. vernalis (L.) MILL.;P. vernalis
Dalmatiner K., Elfen-K.;– C. tommasinianus HERB.16* Bl 0,5–1,5 m;Dalmatiner K., Elfen-K.;C. tommasinianus HERB.16* Bl 0,5–1,5 m;C. tommasinianus HERB.16* Bl 0,51,5 m;C. tommasinianus HERB.;C. tommasinianus HERB.;C. tommasinianus
Korsischer K.;– C. corsicus VANUCCHI ex MAWSehr ähnlic;Korsischer K.;C. corsicus VANUCCHI ex MAWSehr ähnlic;C. corsicus VANUCCHI ex MAWSehr ähnlic;C. corsicus VANUCCHI ex MAWSehr ähnlic;C. corsicus VANUCCHI ex MAWSehr ähnlic;C. corsicus
Silberlack-K.;– C. versicolor KER GAWL.: Bl graugrün, ;Silberlack-K.;C. versicolor KER GAWL.: Bl graugrün, ;C. versicolor KER GAWL.: Bl graugrün, ;C. versicolor KER GAWL.;C. versicolor KER GAWL.;C. versicolor
Gitter-Herbst-K.;– C. cancellatus HERB.;Gitter-Herbst-K.;C. cancellatus HERB.;C. cancellatus HERB.;C. cancellatus HERB.;C. cancellatus HERB.;C. cancellatus
Ring-Herbst-K.;– C. kotschyanus HERB.19* Schlund durchg;Ring-Herbst-K.;C. kotschyanus HERB.19* Schlund durchg;C. kotschyanus HERB.19* Schlund durchg;C. kotschyanus HERB.;C. kotschyanus HERB.;C. kotschyanus
Rosen-Herbst-K.;– C. pulchellus HERB.20* Staubfäden kahl;Rosen-Herbst-K.;C. pulchellus HERB.20* Staubfäden kahl;C. pulchellus HERB.20* Staubfäden kahl;C. pulchellus HERB.;C. pulchellus HERB.;C. pulchellus
Siebenbürger Herbst-K.;– C. banaticus J. GAY23* Griffel gelb. P;Siebenbürger Herbst-K.;C. banaticus J. GAY23* Griffel gelb. P;C. banaticus J. GAY23* Griffel gelb. P;C. banaticus J. GAY;C. banaticus J. GAY;C. banaticus
Echter Safran;– C. sativus L.Ähnlich: Duft-Herbst-K. –;Echter Safran;C. sativus L.Ähnlich: Duft-Herbst-K. –;C. sativus L.Ähnlich: Duft-Herbst-K. –;C. sativus L.;C. sativus L.;C. sativus
Spanischer Herbst-K.;– C. serotinus SALISB.26 (24) Perigonzip;Spanischer Herbst-K.;C. serotinus SALISB.26 (24) Perigonzip;C. serotinus SALISB.26 (24) Perigonzip;C. serotinus SALISB.;C. serotinus SALISB.;C. serotinus
Pracht-Herbst-K.;– C. speciosus M. BIEB.26* Perigonzipfel;Pracht-Herbst-K.;C. speciosus M. BIEB.26* Perigonzipfel;C. speciosus M. BIEB.26* Perigonzipfel;C. speciosus M. BIEB.;C. speciosus M. BIEB.;C. speciosus
Riviera-Herbst-K.;– C. medius BALB.27* B tiefpurpurn, selt;Riviera-Herbst-K.;C. medius BALB.27* B tiefpurpurn, selt;C. medius BALB.27* B tiefpurpurn, selt;C. medius BALB.;C. medius BALB.;C. medius
Pyrenäen-Herbst-K.;– C. nudiflorus SM.Freesie – Freesia ECK;Pyrenäen-Herbst-K.;C. nudiflorus SM.Freesie – Freesia ECK;C. nudiflorus SM.Freesie Freesia ECK;C. nudiflorus SM.Freesie Freesia ECK;C. nudiflorus SM.Freesie Freesia ECK;C. nudiflorus Freesia
Verzweigte F.;– C. simplicicaulis BOISS. et HUET: mitt;Verzweigte F.;C. simplicicaulis BOISS. et HUET: mitt;C. simplicicaulis BOISS. et HUET: mitt;C. simplicicaulis BOISS. et HUET;C. simplicicaulis BOISS. et HUET;C. simplicicaulis
Umgebogene F;. – F. refracta (JACQ.) ECKL. ex KLATT3 ;Umgebogene F.;F. refracta (JACQ.) ECKL. ex KLATT3 ;F. refracta (JACQ.) ECKL. ex KLATT3 ;F. refracta (JACQ.) ECKL. ex KLATT;F. refracta (JACQ.) ECKL. ex KLATT;F. refracta
Leichtlin- F.;– F. leichtlinii KLATT3* B fast radiär, ;Leichtlin- F.;F. leichtlinii KLATT3* B fast radiär, ;F. leichtlinii KLATT3* B fast radiär, ;F. leichtlinii KLATT;F. leichtlinii KLATT;F. leichtlinii
Dreifarbiges F., Harlekinblume;– S. tricolor (SCHNEEV.) KER GAWL.1* Sta;Dreifarbiges F., Harlekinblume;S. tricolor (SCHNEEV.) KER GAWL.1* Sta;S. tricolor (SCHNEEV.) KER GAWL.1* Sta;S. tricolor (SCHNEEV.) KER GAWL.;S. tricolor (SCHNEEV.) KER GAWL.;S. tricolor
Knöllchen-F.;– S. bulbifera (L.) KER GAWL.2* Stg meis;Knöllchen-F.;S. bulbifera (L.) KER GAWL.2* Stg meis;S. bulbifera (L.) KER GAWL.2* Stg meis;S. bulbifera (L.) KER GAWL.;S. bulbifera (L.) KER GAWL.;S. bulbifera
Safranfarbige T.;– T. crocata (L.) KER GAWL.;Safranfarbige T.;T. crocata (L.) KER GAWL.;T. crocata (L.) KER GAWL.;T. crocata (L.) KER GAWL.;T. crocata (L.) KER GAWL.;T. crocata
Rispen-M.;– C. paniculata (KLATT) GOLDBLATT;Rispen-M.;C. paniculata (KLATT) GOLDBLATT;C. paniculata (KLATT) GOLDBLATT;C. paniculata (KLATT) GOLDBLATT;C. paniculata (KLATT) GOLDBLATT;C. paniculata
Transkei-M.;– C. masoniorum (L. BOLUS) N. E. BR. ;Transkei-M.;C. masoniorum (L. BOLUS) N. E. BR. ;C. masoniorum (L. BOLUS) N. E. BR. ;C. masoniorum (L. BOLUS) N. E. BR. ;C. masoniorum (L. BOLUS) N. E. BR. ;C. masoniorum
Gold-M.;– C. aurea (PAPPE ex HOOK.) PLANCH.3* B ;Gold-M.;C. aurea (PAPPE ex HOOK.) PLANCH.3* B ;C. aurea (PAPPE ex HOOK.) PLANCH.3* B ;C. aurea (PAPPE ex HOOK.) PLANCH.;C. aurea (PAPPE ex HOOK.) PLANCH.;C. aurea
Potts-M.;– C. pottsii (BAKER) N. E. BR.Kult fast ;Potts-M.;C. pottsii (BAKER) N. E. BR.Kult fast ;C. pottsii (BAKER) N. E. BR.Kult fast ;C. pottsii (BAKER) N. E. BR.Kult fast ;C. pottsii (BAKER) N. E. BR.Kult fast ;C. pottsii
Braunrote T.;– H. fulva L.;Braunrote T.;H. fulva L.;H. fulva L.;H. fulva L.;H. fulva L.;H. fulva
Dumortier-T.;– H. dumortieri C. MORREN;Dumortier-T.;H. dumortieri C. MORREN;H. dumortieri C. MORREN;H. dumortieri C. MORREN;H. dumortieri C. MORREN;H. dumortieri
Middendorff-T.;– H. middendorffii TRAUTV. et C. A. MEY.;Middendorff-T.;H. middendorffii TRAUTV. et C. A. MEY.;H. middendorffii TRAUTV. et C. A. MEY.;H. middendorffii TRAUTV. et C. A. MEY.;H. middendorffii TRAUTV. et C. A. MEY.;H. middendorffii
Kleine T., Stern-T.;– H. minor MILL.;Kleine T., Stern-T.;H. minor MILL.;H. minor MILL.;H. minor MILL.;H. minor MILL.;H. minor
Gelbe T.;– H. lilioasphodelus L.Ähnlich: Thunberg;Gelbe T.;H. lilioasphodelus L.Ähnlich: Thunberg;H. lilioasphodelus L.Ähnlich: Thunberg;H. lilioasphodelus L.;H. lilioasphodelus L.;H. lilioasphodelus
Zitronen-T.;– H. citrina BARONIBem.: Unter diesem Na;Zitronen-T.;H. citrina BARONIBem.: Unter diesem Na;H. citrina BARONIBem.: Unter diesem Na;H. citrina BARONIBem.;H. citrina BARONIBem.;H. citrina
Weißer A.;– I. candida (L.) CASS.11* Bl grün, aber;Weißer A.;I. candida (L.) CASS.11* Bl grün, aber;I. candida (L.) CASS.11* Bl grün, aber;I. candida (L.) CASS.;I. candida (L.) CASS.;I. candida
Röhriger A.;– A. fistulosus L.Junkerlilie – Asphodel;Röhriger A.;A. fistulosus L.Junkerlilie – Asphodel;A. fistulosus L.Junkerlilie – Asphodel;A. fistulosus L.Junkerlilie – Asphodel;A. fistulosus L.Junkerlilie – Asphodel;A. fistulosus
Liburnische J.;– A. liburnica (SCOP.) RCHB.2* Perigon b;Liburnische J.;A. liburnica (SCOP.) RCHB.2* Perigon b;A. liburnica (SCOP.) RCHB.2* Perigon b;A. liburnica (SCOP.) RCHB.;A. liburnica (SCOP.) RCHB.;A. liburnica
Schlanke J;. – A. tenuior (FISCH.) LEDEB.3 (1) Peri;Schlanke J.;A. tenuior (FISCH.) LEDEB.3 (1) Peri;A. tenuior (FISCH.) LEDEB.3 (1) Peri;A. tenuior (FISCH.) LEDEB.;A. tenuior (FISCH.) LEDEB.;A. tenuior
Gelbe J.;– A. lutea (L.) RCHB.;Gelbe J.;A. lutea (L.) RCHB.;A. lutea (L.) RCHB.;A. lutea (L.) RCHB.;A. lutea (L.) RCHB.;A. lutea
Krim-J.;– A. taurica (PALL.) KUNTH;Krim-J.;A. taurica (PALL.) KUNTH;A. taurica (PALL.) KUNTH;A. taurica (PALL.) KUNTH;A. taurica (PALL.) KUNTH;A. taurica
Afghanistan-St., Schmalblättrige St.;– E. stenophyllus (BOISS. et BUHSE) BAKE;Afghanistan-St., Schmalblättrige St.;E. stenophyllus (BOISS. et BUHSE) BAKE;E. stenophyllus (BOISS. et BUHSE) BAKE;E. stenophyllus (BOISS. et BUHSE) BAKE;E. stenophyllus (BOISS. et BUHSE) BAKE;E. stenophyllus
Schopfige St;. – E. comosus O. FEDTSCH.;Schopfige St.;E. comosus O. FEDTSCH.;E. comosus O. FEDTSCH.;E. comosus O. FEDTSCH.;E. comosus O. FEDTSCH.;E. comosus
Ansehnliche St.;– E. spectabilis M. BIEB.;Ansehnliche St.;E. spectabilis M. BIEB.;E. spectabilis M. BIEB.;E. spectabilis M. BIEB.;E. spectabilis M. BIEB.;E. spectabilis
Sogdische St.;– E. soogdianus (REGEL) BENTH. et HOOK.5;Sogdische St.;E. soogdianus (REGEL) BENTH. et HOOK.5;E. soogdianus (REGEL) BENTH. et HOOK.5;E. soogdianus (REGEL) BENTH. et HOOK.;E. soogdianus (REGEL) BENTH. et HOOK.;E. soogdianus
Turkestanische St.;– E. turkestanicus REGEL6 (2) Fr 8–12(–1;Turkestanische St.;E. turkestanicus REGEL6 (2) Fr 8–12(–1;E. turkestanicus REGEL6 (2) Fr 8–12(–1;E. turkestanicus REGEL;E. turkestanicus REGEL;E. turkestanicus
Olga-St.;– E. olgae REGEL;Olga-St.;E. olgae REGEL;E. olgae REGEL;E. olgae REGEL;E. olgae REGEL;E. olgae
Kaufmann-St.;– E. kaufmannii REGEL;Kaufmann-St.;E. kaufmannii REGEL;E. kaufmannii REGEL;E. kaufmannii REGEL;E. kaufmannii REGEL;E. kaufmannii
Buchara-St.;– E. bucharicus REGEL;Buchara-St.;E. bucharicus REGEL;E. bucharicus REGEL;E. bucharicus REGEL;E. bucharicus REGEL;E. bucharicus
Milchweiße St.;– E. lactiflorus O. FEDTSCH.;Milchweiße St.;E. lactiflorus O. FEDTSCH.;E. lactiflorus O. FEDTSCH.;E. lactiflorus O. FEDTSCH.;E. lactiflorus O. FEDTSCH.;E. lactiflorus
Aitchison-St.;– E. aitchisonii BAKER10* Bl rinnig, gra;Aitchison-St.;E. aitchisonii BAKER10* Bl rinnig, gra;E. aitchisonii BAKER10* Bl rinnig, gra;E. aitchisonii BAKER;E. aitchisonii BAKER;E. aitchisonii
Riesen-St., Kleopatranadel;– E. robustus (REGEL) REGEL;Riesen-St., Kleopatranadel;E. robustus (REGEL) REGEL;E. robustus (REGEL) REGEL;E. robustus (REGEL) REGEL;E. robustus (REGEL) REGEL;E. robustus
Schwertblättrige F.;– K. ensifolia BAKERBem.: Die echte K. p;Schwertblättrige F.;K. ensifolia BAKERBem.: Die echte K. p;K. ensifolia BAKERBem.: Die echte K. p;K. ensifolia BAKERBem.;K. ensifolia BAKERBem.;K. ensifolia
Frühe F;. – K. praecox BAKER;Frühe F.;K. praecox BAKER;K. praecox BAKER;K. praecox BAKER;K. praecox BAKER;K. praecox
Schopf-F., Traubige F.;– K. uvaria (L.) HOOK.4* Bl 12–28 mm br.;Schopf-F., Traubige F.;K. uvaria (L.) HOOK.4* Bl 12–28 mm br.;K. uvaria (L.) HOOK.4* Bl 1228 mm br.;K. uvaria (L.) HOOK.;K. uvaria (L.) HOOK.;K. uvaria
Langblättrige F;. – K. linearifolia BAKER5 (1) DeckBl ei;Langblättrige F.;K. linearifolia BAKER5 (1) DeckBl ei;K. linearifolia BAKER5 (1) DeckBl ei;K. linearifolia BAKER;K. linearifolia BAKER;K. linearifolia
Zitronen-F;. – K. citrina BAKER;Zitronen-F.;K. citrina BAKER;K. citrina BAKER;K. citrina BAKER;K. citrina BAKER;K. citrina
Wenigblütige F.;– K. pauciflora BAKER;Wenigblütige F.;K. pauciflora BAKER;K. pauciflora BAKER;K. pauciflora BAKER;K. pauciflora BAKER;K. pauciflora
Drakensberg-F.;– K. rufa BAKERBem.: Ähnlich, aber mit l;Drakensberg-F.;K. rufa BAKERBem.: Ähnlich, aber mit l;K. rufa BAKERBem.: Ähnlich, aber mit l;K. rufa BAKERBem.;K. rufa BAKERBem.;K. rufa
Grasblättrige F.;– K. triangularis KUNTH;Grasblättrige F.;K. triangularis KUNTH;K. triangularis KUNTH;K. triangularis KUNTH;K. triangularis KUNTH;K. triangularis
Galpin-F.;– K. galpinii BAKER;Galpin-F.;K. galpinii BAKER;K. galpinii BAKER;K. galpinii BAKER;K. galpinii BAKER;K. galpinii
Feder-Sp.;– A. setaceus (KUNTH) JESSOP [A. plumosu;Feder-Sp.;A. setaceus (KUNTH) JESSOP [A. plumosu;A. setaceus (KUNTH) JESSOP [A. plumosu;A. setaceus (KUNTH) JESSOP [A. plumosu;A. setaceus (KUNTH) JESSOP [A. plumosu;A. setaceus
Farn-Sp.;– A. filicinus BUCH-HAM. ex D. DON1* Sch;Farn-Sp.;A. filicinus BUCH-HAM. ex D. DON1* Sch;A. filicinus BUCH-HAM. ex D. DON1* Sch;A. filicinus BUCH-HAM. ex D. DON;A. filicinus BUCH-HAM. ex D. DON;A. filicinus
Spitzblättriger Sp.;– A. acutifolius L.2* Pfl sommergrün. Sc;Spitzblättriger Sp.;A. acutifolius L.2* Pfl sommergrün. Sc;A. acutifolius L.2* Pfl sommergrün. Sc;A. acutifolius L.;A. acutifolius L.;A. acutifolius
Wirtel-Sp.;– A. verticillatus L.;Wirtel-Sp.;A. verticillatus L.;A. verticillatus L.;A. verticillatus L.;A. verticillatus L.;A. verticillatus
Haarblatt-Sp.;– A. trichophyllus BUNGE4* Stg aufrecht,;Haarblatt-Sp.;A. trichophyllus BUNGE4* Stg aufrecht,;A. trichophyllus BUNGE4* Stg aufrecht,;A. trichophyllus BUNGE;A. trichophyllus BUNGE;A. trichophyllus
Zartblättriger Sp.;– A. tenuifolius LAM.;Zartblättriger Sp.;A. tenuifolius LAM.;A. tenuifolius LAM.;A. tenuifolius LAM.;A. tenuifolius LAM.;A. tenuifolius
Gemüse-Sp., Garten-Sp.;– A. officinalis L.;Gemüse-Sp., Garten-Sp.;A. officinalis L.;A. officinalis L.;A. officinalis L.;A. officinalis L.;A. officinalis
Rauer Sp.;– A. pseudoscaber GRECESCU;Rauer Sp.;A. pseudoscaber GRECESCU;A. pseudoscaber GRECESCU;A. pseudoscaber GRECESCU;A. pseudoscaber GRECESCU;A. pseudoscaber
Gewöhnlicher M.;, Entenfuß – P. peltatum L.;Gewöhnlicher M., Entenfuß;P. peltatum L.;P. peltatum L.;P. peltatum L.;P. peltatum L.;P. peltatum
Hadernblatt;– R. hypoglossum L.;Hadernblatt;R. hypoglossum L.;R. hypoglossum L.;R. hypoglossum L.;R. hypoglossum L.;R. hypoglossum
Westmediterraner M;. – R. hypophyllum L.;Westmediterraner M.;R. hypophyllum L.;R. hypophyllum L.;R. hypophyllum L.;R. hypophyllum L.;R. hypophyllum
Traubendorn, Alexandrinischer Lorbeer;– D. racemosa (L.) MOENCH;Traubendorn, Alexandrinischer Lorbeer;D. racemosa (L.) MOENCH;D. racemosa (L.) MOENCH;D. racemosa (L.) MOENCH;D. racemosa (L.) MOENCH;D. racemosa
Hooker-S.;– P. hookeri BAKER;Hooker-S.;P. hookeri BAKER;P. hookeri BAKER;P. hookeri BAKER;P. hookeri BAKER;P. hookeri
Quirl-W.;– P. verticillatum (L.) ALL.;Quirl-W.;P. verticillatum (L.) ALL.;P. verticillatum (L.) ALL.;P. verticillatum (L.) ALL.;P. verticillatum (L.) ALL.;P. verticillatum
Breitblättrige W., Auen-W.;– P. hirtum (POIR.) PURSHÄhnlich: Niedri;Breitblättrige W., Auen-W.;P. hirtum (POIR.) PURSHÄhnlich: Niedri;P. hirtum (POIR.) PURSHÄhnlich: Niedri;P. hirtum (POIR.) PURSH;P. hirtum (POIR.) PURSH;P. hirtum
Vielblütige W.;– P. multiflorum (L.) ALL.;Vielblütige W.;P. multiflorum (L.) ALL.;P. multiflorum (L.) ALL.;P. multiflorum (L.) ALL.;P. multiflorum (L.) ALL.;P. multiflorum
Garten-W., Riesen-W.;– P. × hybridum BRÜGGERÄhnlich, aber sel;Garten-W., Riesen-W.;P. × hybridum BRÜGGERÄhnlich, aber sel;P. × hybridum BRÜGGERÄhnlich, aber sel;P. × hybridum BRÜGGER;P. × hybridum BRÜGGER;P. hybridum
Rispen-Sch., Duftsiegel;– M. racemosum (L.) LINK;Rispen-Sch., Duftsiegel;M. racemosum (L.) LINK;M. racemosum (L.) LINK;M. racemosum (L.) LINK;M. racemosum (L.) LINK;M. racemosum
Stern-Sch.;– M. stellatum (L.) LINK;Stern-Sch.;M. stellatum (L.) LINK;M. stellatum (L.) LINK;M. stellatum (L.) LINK;M. stellatum (L.) LINK;M. stellatum
Schwarzer Sch.;– O. planiscapus NAKAI;Schwarzer Sch.;O. planiscapus NAKAI;O. planiscapus NAKAI;O. planiscapus NAKAI;O. planiscapus NAKAI;O. planiscapus
Schmalblättriger Sch;. – O. japonicus (L. f.) KER GAWL.Bem.: ;Schmalblättriger Sch.;O. japonicus (L. f.) KER GAWL.Bem.: ;O. japonicus (L. f.) KER GAWL.Bem.: ;O. japonicus (L. f.) KER GAWL.Bem.;O. japonicus (L. f.) KER GAWL.Bem.;O. japonicus
Gewöhnliches M;. – C. majalis L.;Gewöhnliches M.;C. majalis L.;C. majalis L.;C. majalis L.;C. majalis L.;C. majalis
Kantige G.;– U. sessilifolia L.;Kantige G.;U. sessilifolia L.;U. sessilifolia L.;U. sessilifolia L.;U. sessilifolia L.;U. sessilifolia
Hänge-G.;– U. grandiflora SM.;Hänge-G.;U. grandiflora SM.;U. grandiflora SM.;U. grandiflora SM.;U. grandiflora SM.;U. grandiflora
Kleine G.;– U. perfoliata L.;Kleine G.;U. perfoliata L.;U. perfoliata L.;U. perfoliata L.;U. perfoliata L.;U. perfoliata
Breitblättrige K.;, Pfefferkraut – L. latifolium L.;Breitblättrige K., Pfefferkraut;L. latifolium L.;L. latifolium L.;L. latifolium L.;L. latifolium L.;L. latifolium
Kleinblütige K.;– T. macropoda MIQ.Ähnlich: Gebirgs-K. –;Kleinblütige K.;T. macropoda MIQ.Ähnlich: Gebirgs-K. –;T. macropoda MIQ.Ähnlich: Gebirgs-K. –;T. macropoda MIQ.;T. macropoda MIQ.;T. macropoda
Rauhaarige K.;Bl fiederteilig;Rauhaarige K.Bl fiederteilig;Bl fiederteilig;Bl fiederteilig;Bl fiederteilig;Bl fiederteilig;Bl fiederteilig
Taiwan-K.;– T. formosana BAKER;Taiwan-K.;T. formosana BAKER;T. formosana BAKER;T. formosana BAKER;T. formosana BAKER;T. formosana
Weichhaarige K.;– T. pilosa WALL.;Weichhaarige K.;T. pilosa WALL.;T. pilosa WALL.;T. pilosa WALL.;T. pilosa WALL.;T. pilosa
Rosa K;. – St. lanceolatus (AITON) REVEAL;Rosa K.;St. lanceolatus (AITON) REVEAL;St. lanceolatus (AITON) REVEAL;St. lanceolatus (AITON) REVEAL;St. lanceolatus (AITON) REVEAL;St. lanceolatus
Östliche P.;– C. scilloides (RAF.) CORY;Östliche P.;C. scilloides (RAF.) CORY;C. scilloides (RAF.) CORY;C. scilloides (RAF.) CORY;C. scilloides (RAF.) CORY;C. scilloides
Leichtlin-P.;– C. leichtlinii (BAKER) S. WATSON3* Per;Leichtlin-P.;C. leichtlinii (BAKER) S. WATSON3* Per;C. leichtlinii (BAKER) S. WATSON3* Per;C. leichtlinii (BAKER) S. WATSON;C. leichtlinii (BAKER) S. WATSON;C. leichtlinii
Essbare P.;– C. quamash (PURSH) GREENE;Essbare P.;C. quamash (PURSH) GREENE;C. quamash (PURSH) GREENE;C. quamash (PURSH) GREENE;C. quamash (PURSH) GREENE;C. quamash
Riesen-Chincherinchee;– O. saundersiaeBAKER: FrKn schwarzgrün.;Riesen-Chincherinchee;O. saundersiaeBAKER: FrKn schwarzgrün.;O. saundersiaeBAKER: FrKn schwarzgrün.;O. saundersiaeBAKER;O. saundersiaeBAKER;O. saundersiae
Dolden-M., Stern von Bethlehem;– O. umbellatum L.;Dolden-M., Stern von Bethlehem;O. umbellatum L.;O. umbellatum L.;O. umbellatum L.;O. umbellatum L.;O. umbellatum
Wenigblättriger M.;– O. oligophyllum E. D. CLARKEBem.: Prob;Wenigblättriger M.;O. oligophyllum E. D. CLARKEBem.: Prob;O. oligophyllum E. D. CLARKEBem.: Prob;O. oligophyllum E. D. CLARKEBem.;O. oligophyllum E. D. CLARKEBem.;O. oligophyllum
Nickender M.;– O. nutans L.;Nickender M.;O. nutans L.;O. nutans L.;O. nutans L.;O. nutans L.;O. nutans
