vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Scharfer Mauerpfeffer;– S. acre L.;Scharfer Mauerpfeffer;S. acre L.;S. acre L.;S. acre L.;S. acre L.;S. acre
Milder Mauerpfeffer;– S. sexangulare L.;Milder Mauerpfeffer;S. sexangulare L.;S. sexangulare L.;S. sexangulare L.;S. sexangulare L.;S. sexangulare
Spinnweben-H.;– S. arachnoideum L.1* RosettenBl ohne s;Spinnweben-H.;S. arachnoideum L.1* RosettenBl ohne s;S. arachnoideum L.1* RosettenBl ohne s;S. arachnoideum L.;S. arachnoideum L.;S. arachnoideum
Gelbe H., Wulfen-H.;– S. wulfenii HOPPE ex MERTENS et KOCH3*;Gelbe H., Wulfen-H.;S. wulfenii HOPPE ex MERTENS et KOCH3*;S. wulfenii HOPPE ex MERTENS et KOCH3*;S. wulfenii HOPPE ex MERTENS et KOCH;S. wulfenii HOPPE ex MERTENS et KOCH;S. wulfenii
Serpentin-H.;– S. pittonii SCHOTT, NYMAN et KOTSCHYÄh;Serpentin-H.;S. pittonii SCHOTT, NYMAN et KOTSCHYÄh;S. pittonii SCHOTT, NYMAN et KOTSCHYÄh;S. pittonii SCHOTT, NYMAN et KOTSCHY;S. pittonii SCHOTT, NYMAN et KOTSCHY;S. pittonii
Dach-H.;– S. tectorum L.4* RosettenBl zumindest ;Dach-H.;S. tectorum L.4* RosettenBl zumindest ;S. tectorum L.4* RosettenBl zumindest ;S. tectorum L.;S. tectorum L.;S. tectorum
Langstämmige E.;– E. gibbiflora DC.1* Bl bis 8(–9) cm lg;Langstämmige E.;E. gibbiflora DC.1* Bl bis 8(–9) cm lg;E. gibbiflora DC.1* Bl bis 8(9) cm lg;E. gibbiflora DC.;E. gibbiflora DC.;E. gibbiflora
Peacock-E.;– E. peacockii CROUCHER2* B gestielt, BS;Peacock-E.;E. peacockii CROUCHER2* B gestielt, BS;E. peacockii CROUCHER2* B gestielt, BS;E. peacockii CROUCHER;E. peacockii CROUCHER;E. peacockii
Derenberg-E.;– E. derenbergii J. A. PURPUS3* KrBl ros;Derenberg-E.;E. derenbergii J. A. PURPUS3* KrBl ros;E. derenbergii J. A. PURPUS3* KrBl ros;E. derenbergii J. A. PURPUS;E. derenbergii J. A. PURPUS;E. derenbergii
Schöne E.;– E. elegans ROSEÄhnlich: Agavenähnliche;Schöne E.;E. elegans ROSEÄhnlich: Agavenähnliche;E. elegans ROSEÄhnlich: Agavenähnliche;E. elegans ROSE;E. elegans ROSE;E. elegans
