genus_vernacular;species_vernacular;genus_scientific;species_scientific;primary_use;secondary_use;wild
Primel, Schlüsselblume;Gamsblume, Alpen-Aurikel;Primula;P. auricula;Z;NA;W
Primel, Schlüsselblume;Palinuri-P.;Primula;P. palinuri;Z;NA;NA
Primel, Schlüsselblume;New Mexico-P.;Primula;P. ellisiae;Z;NA;NA
Primel, Schlüsselblume;Seealpen-P.;Primula;P. marginata;Z;NA;NA
Primel, Schlüsselblume;Breitblättrige P.;Primula;P. latifolia;Z;NA;NA
Primel, Schlüsselblume;Ansehnliche P.;Primula;P. spectabilis;Z;NA;NA
Purpurkappenorchis;Ansehnliche P.;Galearis;G. spectabilis;Z;NA;NA
Primel, Schlüsselblume;Zwerg-P., Habmichlieb;Primula;P. minima;Z;NA;W
Primel, Schlüsselblume;Wulfen-P., Südostalpen-P.;Primula;P. wulfeniana;Z;NA;NA
Primel, Schlüsselblume;Meergrüne P.;Primula;P. glaucescens;Z;NA;NA
Primel, Schlüsselblume;Piemont-P.;Primula;P. pedemontana;Z;NA;NA
Primel, Schlüsselblume;Zottige P.;Primula;P. villosa;Z;NA;NA
Primel, Schlüsselblume;Behaarte P.;Primula;P. hirsuta;Z;NA;W
Primel, Schlüsselblume;Allioni-P.;Primula;P. allionii;Z;NA;NA
Primel, Schlüsselblume;Ganzblättrige P.;Primula;P. integrifolia;Z;NA;NA
Primel, Schlüsselblume;Clusius-P.;Primula;P. clusiana;Z;NA;W
Primel, Schlüsselblume;Schwarzmeer-P.;Primula;P. megaseifolia;Z;NA;NA
Primel, Schlüsselblume;Teppich-P.;Primula;P. juliae;Z;NA;NA
Primel, Schlüsselblume;Clark-P.;Primula;P. clarkei;Z;NA;NA
Primel, Schlüsselblume;Vielnervige P., Veitch-P.;Primula;P. polyneura;Z;NA;NA
Primel, Schlüsselblume;Siebold-P.;Primula;P. sieboldii;Z;NA;NA
Primel, Schlüsselblume;Heilglöckel-P.;Primula;P. cortusoides;Z;NA;NA
Primel, Schlüsselblume;Schaftlose P.;Primula;P. vulgaris;Z;NA;W
Primel, Schlüsselblume;Ähren-P.;Primula;P. flaccida;Z;NA;NA
Primel, Schlüsselblume;Orchideen-P.;Primula;P. vialii;Z;NA;NA
Primel, Schlüsselblume;Reid-P.;Primula;P. reidii;Z;NA;NA
Primel, Schlüsselblume;Kopf-P.;Primula;P. capitata;Z;NA;NA
Primel, Schlüsselblume;Kugel-P.;Primula;P. denticulata;Z;NA;NA
Primel, Schlüsselblume;Siebold-P.;Primula;P. sieboldii;Z;NA;NA
Primel, Schlüsselblume;Heilglöckel-P.;Primula;P. cortusoides;Z;NA;NA
Primel, Schlüsselblume;Cockburn-P.;Primula;P. cockburniana;Z;NA;NA
Primel, Schlüsselblume;Wiesen-P., Wiesenschlüsselblume, Himmelschlüssel;Primula;P. veris;Z;NA;W
Primel, Schlüsselblume;Tibet-P.;Primula;P. florindae;Z;NA;NA
Primel, Schlüsselblume;Rosen-P.;Primula;P. rosea;Z;NA;NA
Primel, Schlüsselblume;Mehl-P.;Primula;P. farinosa;Z;NA;W
Primel, Schlüsselblume;Weißblütige P.;Primula;P. chionantha f.;Z;NA;NA
Petunie;Weißblütige P.;Petunia;P. axillaris;Z;NA;NA
Primel, Schlüsselblume;Sikkim-P.;Primula;P. sikkimensis;Z;NA;NA
Primel, Schlüsselblume;Hohe P., Wald-P., Hohe Sch., Himmelschlüssel;Primula;P. elatior;Z;NA;W
Primel, Schlüsselblume;Poisson-P.;Primula;P. poissonii;Z;NA;NA
Primel, Schlüsselblume;Orangeblütige P.;Primula;P. aurantiaca;Z;NA;NA
Primel, Schlüsselblume;Bulley-P.;Primula;P. bulleyana subsp. bulleyana;Z;NA;NA
Primel, Schlüsselblume;Cockburn-P.;Primula;P. cockburniana;Z;NA;NA
Primel, Schlüsselblume;Yunnan-P.;Primula;P. chungensis f.;Z;NA;NA
Primel, Schlüsselblume;Siebold-P.;Primula;P. sieboldii;Z;NA;NA
Primel, Schlüsselblume;Heilglöckel-P.;Primula;P. cortusoides;Z;NA;NA
Primel, Schlüsselblume;Japan-P.;Primula;P. japonica;Z;NA;NA
Primel, Schlüsselblume;Burma-P.;Primula;P. burmanica f.;Z;NA;NA
Primel, Schlüsselblume;Bees-P.;Primula;P. bulleyana subsp. beesiana;Z;NA;NA
Primel, Schlüsselblume;Sichuan-P.;Primula;P. pulverulenta;Z;NA;NA
Dionysie;Hüllkelch-D.;Dionysia;D. involucrata;Z;NA;NA
