genus_vernacular;species_vernacular;genus_scientific;species_scientific;primary_use;secondary_use;wild
Kapringelblume;Buschige K;Dimorphotheca;D. sinuata;Z;NA;NA
Bärenkamille, Ursinie;Schöne B.;Ursinia;U. speciosa;Z;NA;NA
Bärenkamille, Ursinie;Dillblättrige B.;Ursinia;U. anethoides;Z;NA;NA
Bärenkamille, Ursinie;Bunte B.;Ursinia;U. anthemoides;Z;NA;NA
Bärenohr;Kurzstängliges B.;Arctotis;A. breviscapa;Z;NA;NA
Bärenohr;Stängelloses B.;Arctotis;A. acaulis;Z;NA;NA
Bärenohr;Anmutiges B.;Arctotis;A. venusta;Z;NA;NA
Bärenohr;Prächtiges B.;Arctotis;A. fastuosa;Z;NA;NA
Kaplöwenzahn;Kaplöwenzahn;Arctotheca;A. calendula;Z;NA;NA
Gazanie, Mittagsgold;Halbstrauch-G., Starre G.;Gazania;G. rigens;Z;NA;NA
Gazanie, Mittagsgold;Borstenschuppige G.;Gazania;G. linearis;Z;NA;NA
Gazanie, Mittagsgold;Krebs-G.;Gazania;G. krebsiana;Z;NA;NA
Kugeldistel;Drüsige K.;Echinops;E. sphaerocephalus;Z;NA;W
Kugeldistel;Gewöhnliche K., Blaue K.;Echinops;E. ritro;Z;NA;NA
Kugeldistel;Niedrige K.;Echinops;E. humilis;Z;NA;NA
Kugeldistel;Drüsenlose K.;Echinops;E. exaltatus;Z;NA;W
Kugeldistel;Banater K.;Echinops;E. bannaticus;Z;NA;W
Eberwurz, Silberdistel, Golddistel;Große E., Silberdistel, Wetterdistel;Carlina;C. acaulis;Z;NA;W
Eberwurz, Silberdistel, Golddistel;Kleine E., Gewöhnliche Golddistel;Carlina;C. vulgaris;Z;NA;W
Eberwurz, Silberdistel, Golddistel;Akanthusblättrige E., Stängellose Golddistel;Carlina;C. acanthifolia;Z;NA;W
Papierblume;Papierblume;Xeranthemum;X. annuum;Z;NA;NA
Alpenscharte;Zwerg-A.;Saussurea;S. pygmaea;Z;NA;W
Alpenscharte;Zweifarbige A.;Saussurea;S. discolor;Z;NA;W
Alpenscharte;Echte A.;Saussurea;S. alpina;Z;NA;W
Silberscharte, Bisamdistel;Geflügelte S.;Jurinea;J. alata;Z;NA;NA
Zwergscharte;Duftende Z.;Jurinella;J. moschus;Z;NA;NA
Distel;Berg-D.;Carduus;C. defloratus;Z;NA;W
Kratzdistel;Wollkopf-K.;Cirsium;C. eriophorum;Z;NA;W
Kratzdistel;Stängellose K.;Cirsium;C. acaule;Z;NA;W
Kratzdistel;Verschiedenblättrige K., Alantdistel;Cirsium;C. helenioides;Z;NA;W
Kratzdistel;Bach-K.;Cirsium;C. rivulare;Z;NA;W
Kratzdistel;Japanische K.;Cirsium;C. japonicum;Z;NA;NA
Elfenbeindistel;Elfenbeindistel;Ptilostemon;P. afer;Z;NA;NA
Artischocke;Gemüse-A., Kardone, Kardy;Cynara;C. cardunculus;Z;N;NA
Mariendistel;Gewöhnliche M.;Silybum;S. marianum;N;Z;NA
Eselsdistel;Stängellose E.;Onopordum;O. acaulon;Z;NA;NA
Eselsdistel;Gewöhnliche E.;Onopordum;O. acanthium;N;Z;NA
Eselsdistel;Brakteen-E.;Onopordum;O. bracteatum;Z;NA;NA
Eselsdistel;Starknervige E.;Onopordum;O. nervosum;Z;NA;NA
Scharte;Färber-Sch.;Serratula;S. tinctoria;Z;N;NA
Flockenblume, Kornblume;Zierliche Silber-F.;Centaurea;C. bella;Z;NA;NA
Flockenblume, Kornblume;Silber-F., Schönste F.;Centaurea;C. pulcherrima;Z;NA;NA
Flockenblume, Kornblume;Zweifarbige F.;Centaurea;C. dealbata;Z;NA;NA
Flockenblume, Kornblume;Goldlackblättrige F., Gelbviolette F.;Centaurea;C. cheiranthifolia;Z;NA;NA
Flockenblume, Kornblume;Ragusa-F.;Centaurea;C. ragusina;Z;NA;NA
Flockenblume, Kornblume;Ascheweiße F.;Centaurea;C. cineraria;Z;NA;NA
Flockenblume, Kornblume;Skabiosen-F.;Centaurea;C. scabiosa;Z;NA;W
Flockenblume, Kornblume;Morgenländische F.;Centaurea;C. orientalis;Z;NA;NA
Flockenblume, Kornblume;Ukrainische F.;Centaurea;C. ruthenica;Z;NA;NA
Flockenblume, Kornblume;Großköpfige F., Riesen-F.;Centaurea;C. macrocephala;Z;NA;NA
Flockenblume, Kornblume;Amerikanische F.;Centaurea;C. americana;Z;NA;NA
Flockenblume, Kornblume;Kornblume;Centaurea;C. cyanus;Z;NA;W
Bisamblume;Duftende B., Moschusflockenblume;Amberboa;A. moschata;Z;NA;NA
Chartolepis;Waidblättrige Ch., Waidflockenblume;Chartolepis;Ch. glastifolia;Z;NA;NA
Scheinkornblume;Scheinkornblume, Stern der Weisen;NA;C. muricata;Z;NA;NA
Bergscharte;Pyrenäen-Bergscharte;Stemmacantha;St. centauroides;Z;NA;NA
Zapfenkopf;Zapfenkopf;Leuzea;L. conifera;Z;NA;NA
Benediktenkraut;Benediktenkraut, Bitterdistel, Kardobenedikte;Cnicus;C. benedictus;N;NA;W
Saflor;Färber-S., Färberdistel, Falscher Safran;Carthamus;C. tinctorius;Z;N;NA
Rasselblume;Blaue R., Amorpfeil;Catananche;C. caerulea;Z;NA;NA
Hainsalat;Hainsalat, Stinksalat;Aposeris;A. foetida;Z;NA;W
Ferkelkraut;Einköpfiges F.;Hypochoeris;H. uniflora;Z;NA;W
Wegwarte, Zichorie, Endivie, Eskariol;Zichorie, Wegwarte, Chikoree, Radicchio;Cichorium;C. intybus;N;NA;W
Wegwarte, Zichorie, Endivie, Eskariol;Endivie, Eskariol, Plumage;Cichorium;C. endivia;N;NA;NA
Schwefelkörbchen, Schwefelsame;Weichhaariges Sch;Urospermum;U. dalechampii;Z;NA;NA
Andryala;Agardh-A;Andryala;A. agardhii;Z;NA;NA
Bocksbart;Gemüse-Haferwurz;Tragopogon;T. porrifolius;N;NA;NA
Schwarzwurzel;Violette Sch.;Scorzonera;S. purpurea;Z;NA;W
Milchlattich;Großblättriger M.;Cicerbita;C. macrocephala;Z;NA;W
Gänsedistel, Milchdistel, Saudistel;Sumpf-G.;Sonchus;S. palustris;Z;NA;NA
Lattich, Salat;Gift-L.;Lactuca;L. virosa;N;NA;NA
Lattich, Salat;Garten-Salat;Lactuca;L. sativa;N;NA;NA
Pippau;Roter P.;Crepis;C. rubra;Z;NA;NA
Pippau;Grauer P.;Crepis;C. incana;Z;NA;NA
Pippau;Gold-P.;Crepis;C. aurea;Z;NA;W
Pippau;Triglav-P.;Crepis;C. terglouensis;Z;NA;W
Pippau;Felsen-P.;Crepis;C. jacquinii;Z;NA;W
Pippau;Zwerg-P.;Crepis;C. pygmaea;Z;NA;NA
Pippau;Pyrenäen-P., Schabenkraut-P.;Crepis;C. pyrenaica;Z;NA;W
Habichtskraut;Kleines H., Mausohr-H.;Hieracium;H. pilosella;Z;NA;W
Habichtskraut;Läuferblütiges H.;Hieracium;H. stoloniflorum;Z;NA;W
Habichtskraut;Orangerotes H.;Hieracium;H. aurantiacum;Z;NA;W
Habichtskraut;Seidiges H;Hieracium;H. mixtum;Z;NA;NA
Habichtskraut;Filziges H.;Hieracium;H. tomentosum;Z;NA;NA
Habichtskraut;Waldstein-H.;Hieracium;H. waldsteinii;Z;NA;NA
Habichtskraut;Woll-H.;Hieracium;H. villosum;Z;NA;W
Habichtskraut;Frühblühendes H.;Hieracium;H. glaucinum;Z;NA;W
Habichtskraut;Dolden-H.;Hieracium;H. umbellatum;Z;NA;W
Kalmus;Gewöhnlicher K.;Acorus;A. calamus;Z;NA;W
Kalmus;Gewöhnlicher K.;Acorus;A. calamus;Z;NA;W
Kalmus;Zwerg-K., Gras-K.;Acorus;A. gramineus;Z;NA;NA
Goldkolben, Goldkeule;Goldkolben, Goldkeule;Orontium;O. aquaticum;Z;NA;NA
Scheinkalla;Gelbe Sch.;Lysichiton;L. americanus;Z;NA;W
Stinkkohl;Stinkkohl;Symplocarpus;S. foetidus;Z;NA;NA
Schlangenwurz;Schlangenwurz, Sumpfkalla, Schweinsohr;Calla;C. palustris;Z;NA;W
Kallalilie;Gefleckte C.;Zantedeschia;Z. albomaculata;Z;NA;NA
Kallalilie;Elliott-C.;Zantedeschia;Z. elliottiana;Z;NA;NA
Pfeilaronstab;Grüner P., Wasseraronstab, Virginisches Pfeilblatt;Peltandra;P. virginica;Z;NA;NA
Pfeilaronstab;Weißer P.;Peltandra;P. sagittifolia;Z;NA;NA
Aronstab;Kretischer A.;Arum;A. creticum;Z;NA;NA
Aronstab;Dioscorides-A.;Arum;A. dioscoridis;Z;NA;NA
Aronstab;Östlicher A.;Arum;A. orientale;Z;NA;NA
Aronstab;Gefleckter A.;Arum;A. maculatum;Z;NA;W
Aronstab;Italienischer A.;Arum;A. italicum;Z;NA;W
Eidechsenwurz;Eidechsenwurz;Sauromatum;S. venosum;Z;NA;NA
Pinellie;Dreizählige P.;Pinellia;P. ternata;Z;NA;NA
Pinellie;Dreigeteilte P.;Pinellia;P. tripartita;Z;NA;NA
Feuerkolben;Chinesischer F.;Arisaema;A. consanguineum;Z;NA;NA
Feuerkolben;Griffith-F., Kobralilie;Arisaema;A. griffithii;Z;NA;NA
Feuerkolben;Drachen-F., Grüner Drache;Arisaema;A. dracontium;Z;NA;NA
Feuerkolben;Duftender F.;Arisaema;A. candidissimum;Z;NA;NA
Feuerkolben;Rachen-F.;Arisaema;A. ringens;Z;NA;NA
Feuerkolben;Shikoku-F.;Arisaema;A. sikokianum;Z;NA;NA
Feuerkolben;Gelbgrüner F.;Arisaema;A. flavum;Z;NA;NA
Feuerkolben;Dreiblättriger F.;Arisaema;A. triphyllum;Z;NA;NA
Feuerkolben;Amur- F.;Arisaema;A. amurense;Z;NA;NA
Schwanenblume, Blumenbinse, Wasserliesch;Schwanenblume, Blumenbinse, Wasserliesch;Butomus;B. umbellatus;Z;NA;W
Pfeilkraut;Breitblättriges Pf., Veränderliches Pf.;Sagittaria;S. latifolia;Z;NA;W
Pfeilkraut;Gewöhnliches Pf.;Sagittaria;S. sagittifolia;Z;NA;W
Froschlöffel;Grasblättriger F.;Alisma;A. gramineum;Z;NA;W
Froschlöffel;Lanzett-F.;Alisma;A. lanceolatum;Z;NA;W
Froschlöffel;Gewöhnlicher F.;Alisma;A. vulgaris;Z;NA;W
Froschlöffel;Kleinblütiger F.;Alisma;A. subcordatum;Z;NA;NA
Frauenschuh;Kleinblütiger F.;Cypripedium;C. parviflorum;Z;NA;NA
Froschkraut;Froschkraut, Schwimmlöffel;Luronium;L. natans;Z;NA;W
Igelschlauch;Igelschlauch;Baldellia;B. ranunculoides;Z;NA;W
Froschbiss;Froschbiss;Hydrocharis;H. morsus-ranae;Z;NA;W
Krebsschere;Krebsschere;Stratiotes;St. aloides;Z;NA;W
Wasserpest;Dichte W., Dichtblättrige W.;Egeria;E. densa;Z;NA;W
Wasserpest;Kanadische W.;Elodea;E. canadensis;Z;NA;W
Wasserpest;Nuttall-W.;Elodea;E. nutallii;Z;NA;W
Wasserpest;Argentinische W., Wasserstern-W.;Elodea;E. callitrichoides;Z;NA;W
Wasserähre;Kap.-W., Afrikanische W.;Aponogeton;A. distachyos f.;Z;NA;NA
Laichkraut;Schwimmendes L.;Potamogeton;P. natans;Z;NA;W
Laichkraut;Kamm-L.;Potamogeton;P. pectinatus;Z;NA;W
Laichkraut;Durchwachsenes L.;Potamogeton;P. perfoliatus;Z;NA;W
Laichkraut;Krauses L.;Potamogeton;P. crispus;Z;NA;W
Schmerwurz;Gewöhnliche Sch.;Tamus;T. communis;Z;NA;W
Yamswurzel;Fünflappige Y.;Dioscorea;D. nipponica;Z;NA;NA
Yamswurzel;Chinesische Y.;Dioscorea;D. polystachya;N;Z;NA
Yamswurzel;Balkan-Y.;Dioscorea;D. balcanica;Z;NA;NA
Yamswurzel;Kaukasus-Y.;Dioscorea;D. caucasica;Z;NA;NA
Germer;Schwarzer G.;Veratrum;V. nigrum;Z;NA;NA
Germer;Maack- G.;Veratrum;V. maackii;Z;NA;NA
Germer;Grüner G.;Veratrum;V. viride;Z;NA;NA
Germer;Kalifornischer G;Veratrum;V. californicum;Z;NA;NA
Germer;Weißer G.;Veratrum;V. album;Z;NA;W
Melanthium, Büschelblume;Virginia-M.;Melanthium;M. virginicum;Z;NA;NA
Jochlilie;Weiße J.;Zigadenus;Z. elegans;Z;NA;NA
Jochlilie;Fremont-J.;Zigadenus;Z. fremontii;Z;NA;NA
Jochlilie;Gift-J.;Zigadenus;Z. venenosus;Z;NA;NA
Jochlilie;Nuttall-J.;Zigadenus;Z. nuttallii;Z;NA;NA
Stenanthium, Federglocke;Gras-St., Federglocke;Stenanthium;St. gramineum;Z;NA;NA
Helonie, Sumpfkolben;Helonie;Helonias;H. bullata;Z;NA;NA
Einbeere;Vierblättrige E.;Paris;P. quadrifolia;Z;NA;W
Quirlblatt;Vielblättriges Qu;Daiswa;D. polyphylla;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Prärie-D.;Trillium;T. recurvatum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Kröten-D.;Trillium;T. sessile;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Grünblütiges D;Trillium;T. chloropetalum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Gelbes D.;Trillium;T. luteum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Keiliges D.;Trillium;T. cuneatum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Geschecktes D.;Trillium;T. kurabayashii;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Nickendes D.;Trillium;T. cernuum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Rosa D.;Trillium;T. catesbaei;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Kleines D.;Trillium;T. nivale;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Gewelltes D.;Trillium;T. undulatum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Großblütiges D.;Trillium;T. grandiflorum;Z;NA;NA
Dreiblatt, Waldlilie, Dreizipfellilie;Stinkendes D;Trillium;T. erectum;Z;NA;NA
Inkalilie;Papageien-I.;Alstroemeria;A. psittacina;Z;NA;NA
Inkalilie;Verschiedenfarbige I.;Alstroemeria;A. versicolor;Z;NA;NA
Inkalilie;Küsten-I;Alstroemeria;A. pelegrina;Z;NA;NA
Inkalilie;Sims-I.;Alstroemeria;A. ligtu subsp. simsii;Z;NA;NA
Inkalilie;Rosa I.;Alstroemeria;A. ligtu subsp. incarnata;Z;NA;NA
Inkalilie;Gewöhnliche I.;Alstroemeria;A. ligtu subsp. ligtu;Z;NA;NA
Inkalilie;Goldne I.;Alstroemeria;A. aurea;Z;NA;NA
Zeitlose, Lichtblume;Frühlings-Lichtblume;Colchicum;C. bulbocodium;Z;NA;NA
Zeitlose, Lichtblume;Berg-Z.;Colchicum;C. montanum;Z;NA;NA
Zeitlose, Lichtblume;Sprossende Z.;Colchicum;C. soboliferum;Z;NA;NA
Zeitlose, Lichtblume;Arche-Noah-Z;Colchicum;C. trigynum;Z;NA;NA
Zeitlose, Lichtblume;Attische Z.;Colchicum;C. atticum;Z;NA;NA
Zeitlose, Lichtblume;Gelbe Z;Colchicum;C. luteum;Z;NA;NA
Zeitlose, Lichtblume;Kesselring-Z.;Colchicum;C. kesselringii;Z;NA;NA
Zeitlose, Lichtblume;Vorfrühlings-Z., Szovits-Z;Colchicum;C. szovitsii;Z;NA;NA
Zeitlose, Lichtblume;Ungarische Z.;Colchicum;C. hungaricum;Z;NA;NA
Zeitlose, Lichtblume;Zilizische Z.;Colchicum;C. cilicicum;Z;NA;NA
Zeitlose, Lichtblume;Frühe Schachbrett-Herbstz;Colchicum;C. × agrippinum;Z;NA;NA
Zeitlose, Lichtblume;Balkan-Herbstz., Bivona-Herbstz.;Colchicum;C. bivonae;Z;NA;NA
Zeitlose, Lichtblume;Herbstzeitlose;Colchicum;C. autumnale;Z;NA;W
Zeitlose, Lichtblume;Riesen-Herbstzeitlose;Colchicum;C. bornmuelleri;Z;NA;NA
Zeitlose, Lichtblume;Prächtige Herbstz., Kaukasus-Herbstz;Colchicum;C. speciosum;Z;NA;NA
Zeitlose, Lichtblume;Alpen-Herbstz.;Colchicum;C. alpinum;Z;NA;NA
Zeitlose, Lichtblume;Schatten-Herbstz.;Colchicum;C. umbrosum;Z;NA;NA
Mormonentulpe;Weiße M.;Calochortus;C. albus;Z;NA;NA
Mormonentulpe;Goldne M.;Calochortus;C. amabilis;Z;NA;NA
Mormonentulpe;Hellblaue M.;Calochortus;C. coeruleus;Z;NA;NA
Mormonentulpe;Schmetterlings-M.;Calochortus;C. venustus;Z;NA;NA
Mormonentulpe;Gestreifte M.;Calochortus;C. macrocarpus;Z;NA;NA
Mormonentulpe;Vesta-M.;Calochortus;C. vestae;Z;NA;NA
Mormonentulpe;Getüpfelte M.;Calochortus;C. superbus;Z;NA;NA
Tulpe;Turkestanische T.;Tulipa;T. turkestanica;Z;NA;NA
Tulpe;Zweiblütige T.;Tulipa;T. biflora;Z;NA;NA
Tulpe;Kandia-T;Tulipa;T. saxatilis;Z;NA;NA
Tulpe;Orphanides-T.;Tulipa;T. orphanidea;Z;NA;NA
Tulpe;Niedrige T.;Tulipa;T. pumilus;Z;NA;NA
Tulpe;Niedrige T.;Tulipa;T. pumilus;Z;NA;NA
Tulpe;Urmia-T.;Tulipa;T. urumiensis;Z;NA;NA
Tulpe;Wilde T.;Tulipa;T. sylvestris;Z;NA;W
Tulpe;Tarda-T., Stern-T.;Tulipa;T. tarda;Z;NA;NA
Tulpe;Kleine Stern-T.;Tulipa;T. dasystemon;Z;NA;NA
Tulpe;Horn-T.;Tulipa;T. acuminata;Z;NA;NA
Tulpe;Sprenger-T.;Tulipa;T. sprengeri;Z;NA;NA
Tulpe;Greig-T.;Tulipa;T. greigii;Z;NA;NA
Tulpe;Micheli-T.;Tulipa;T. micheliana;Z;NA;NA
Tulpe;Vortreffliche T.;Tulipa;T. praestans;Z;NA;NA
Tulpe;Seerosen-Tulpe;Tulipa;T. kaufmanniana;Z;NA;NA
Tulpe;Woll-T.;Tulipa;T. lanata;Z;NA;NA
Tulpe;Tubergen-T.;Tulipa;T. tubergeniana;Z;NA;NA
Tulpe;Wellblatt-T.;Tulipa;T. undulatifolia;Z;NA;NA
Tulpe;Foster-T;Tulipa;T. fosteriana;Z;NA;NA
Tulpe;Ostrowski-T.;Tulipa;T. ostrowskiana;Z;NA;NA
Tulpe;Kolpakowski-T.;Tulipa;T. kolpakowskiana;Z;NA;NA
Tulpe;Leinblättrige T.;Tulipa;T. linifolia;Z;NA;NA
Tulpe;Damen-T.;Tulipa;T. clusiana;Z;NA;NA
Tulpe;Sonnenaugen-T.;Tulipa;T. agenensis;Z;NA;NA
Tulpe;Armenische T.;Tulipa;T. armena;Z;NA;NA
Tulpe;Garten-T.;Tulipa;T. gesneriana;Z;NA;NA
Hundszahn, Zahnlilie;Großblütiger H;Erythronium;E. grandiflorum;Z;NA;NA
Hundszahn, Zahnlilie;Stern-H., Tuolumne-H.;Erythronium;E. tuolumnense;Z;NA;NA
Hundszahn, Zahnlilie;Weißlicher H.;Erythronium;E. albidum;Z;NA;NA
Hundszahn, Zahnlilie;Rosa H.;Erythronium;E. revolutum;Z;NA;NA
Hakenlilie;Rosa H.;Crinum;C. bulbispermum;Z;NA;NA
Hundszahn, Zahnlilie;Henderson- H.;Erythronium;E. hendersonii;Z;NA;NA
Hundszahn, Zahnlilie;Europäischer H.;Erythronium;E. dens-canis;Z;NA;NA
Hundszahn, Zahnlilie;Sibirischer H.;Erythronium;E. sibiricum;Z;NA;NA
Hundszahn, Zahnlilie;Ostamerikanischer H.;Erythronium;E. americanum;Z;NA;NA
Hundszahn, Zahnlilie;Kaukasus-H.;Erythronium;E. caucasicum;Z;NA;NA
Hundszahn, Zahnlilie;Oregon-H.;Erythronium;E. oregonum;Z;NA;NA
Hundszahn, Zahnlilie;Gelber H.;Erythronium;E. citrinum;Z;NA;NA
Hundszahn, Zahnlilie;Vielschäftiger H.;Erythronium;E. multiscapideum;Z;NA;NA
Hundszahn, Zahnlilie;Kalifornischer H.;Erythronium;E. californicum;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Kaiserkrone;Fritillaria;F. imperialis;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Eduard-K.;Fritillaria;F. eduardii;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Buchara-F.;Fritillaria;F. bucharica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Sporn-F.;Fritillaria;F. stenanthera;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Tonlilie, Mehrblütige F.;Fritillaria;F. pluriflora;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Erzurum-Schachblume;Fritillaria;F. alburyana;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Goldei-F., Gold-Schachblume;Fritillaria;F. aurea;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Schwefelgelbe Schachblume;Fritillaria;F. collina;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Schamhafte F.;Fritillaria;F. pudica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Karische F.;Fritillaria;F. carica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Sibthorp-F.;Fritillaria;F. sibthorpiana;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Fahlblütige F.;Fritillaria;F. pallidiflora;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Altai-Schachblume;Fritillaria;F. verticillata;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Thunberg-Schachblume;Fritillaria;F. thunbergii;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Schatten-Schachblume, Schwarze F.;Fritillaria;F. camtschatcensis;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Sprenkel-F.;Fritillaria;F. affinis;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Stinkende F.;Fritillaria;F. agrestis;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Zweiblütige F., Missionsglocke;Fritillaria;F. biflora;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Persische F.;Fritillaria;F. persica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Sewerzow-F;Fritillaria;F. sewerzowii;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Kleine F.;Fritillaria;F. minuta;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Fuchstrauben-F.;Fritillaria;F. uva-vulpis;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Bithynische F.;Fritillaria;F. bithynica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Purpurbraune F.;Fritillaria;F. caucasica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Grünstreifige F.;Fritillaria;F. elwesii;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Syrische F.;Fritillaria;F. assyriaca;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Pinard-F.;Fritillaria;F. pinardii;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Schachblume, Kiebitzei;Fritillaria;F. meleagris;Z;NA;W
Fritillarie, Schachblume, Kaiserkrone;Ukrainische Schachblume;Fritillaria;F. ruthenica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Orientalische Schachblume;Fritillaria;F. orientalis;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Michailovsky-F.;Fritillaria;F. michailovskyi;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Pyrenäen-Schachblume;Fritillaria;F. nigra;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Breitglocken-Schachblume, Breitblättrige F.;Fritillaria;F. latifolia;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Pontus-F.;Fritillaria;F. pontica;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Davis-Schachblume;Fritillaria;F. davisii;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Spitzkronige F.;Fritillaria;F. acmopetala;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Gegenblättrige Schachblume;Fritillaria;F. involucrata;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Dickblättrige Sch.;Fritillaria;F. crassifolia;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Griechische Schachblume;Fritillaria;F. graeca;Z;NA;NA
Fritillarie, Schachblume, Kaiserkrone;Messina-Sch;Fritillaria;F. messanensis;Z;NA;NA
Riesenlilie;Riesenlilie;Cardiocrinum;C. giganteum;Z;NA;NA
Lilie;Goldtürkenbund-L.;Lilium;L. hansonii;Z;NA;NA
Lilie;Türkenbund-L.;Lilium;L. martagon;Z;NA;W
Lilie;Kanadische Wiesen-L.;Lilium;L. canadense;Z;NA;NA
Lilie;Prächtige Türkenbund-L.;Lilium;L. superbum;Z;NA;NA
Lilie;Panther-L.;Lilium;L. pardalinum;Z;NA;NA
Lilie;Isabell-L., Nanking-L.;Lilium;L. testaceum;Z;NA;NA
Lilie;Madonnen-L.;Lilium;L. candidum;Z;NA;NA
Lilie;Königs-L.;Lilium;L. regale;Z;NA;NA
Lilie;Sargent-L.;Lilium;L. sargentiae;Z;NA;NA
Lilie;Oster-L.;Lilium;L. longiflorum;Z;NA;NA
Lilie;Goldband-L.;Lilium;L. auratum;Z;NA;NA
Lilie;Pracht-L.;Lilium;L. speciosum;Z;NA;NA
Lilie;Nickende L;Lilium;L. cernuum;Z;NA;NA
Lilie;Nepal-L.;Lilium;L. nepalense;Z;NA;NA
Lilie;Feuer-L.;Lilium;L. bulbiferum;Z;NA;W
Lilie;Lackrote L., Korallen-L.;Lilium;L. pumilum;Z;NA;NA
Lilie;David-L.;Lilium;L. davidii;Z;NA;NA
Lilie;Tiger-L;Lilium;L. lancifolium;Z;NA;NA
Lilie;Henry-L.;Lilium;L. henryi;Z;NA;NA
Lilie;Chalzedon-L.;Lilium;L. chalcedonicum;Z;NA;NA
Lilie;Pyrenäen-L.;Lilium;L. pyrenaicum;Z;NA;NA
Lilie;Gelbe Kaukasus-L.;Lilium;L. monadelphum;Z;NA;NA
Frauenschuh;Widder-F., Gehörnter F.;Cypripedium;C. arietinum;Z;NA;NA
Frauenschuh;Büschelblütiger F.;Cypripedium;C. fasciculatum;Z;NA;NA
Frauenschuh;Gesprenkelter F.;Cypripedium;C. guttatum;Z;NA;NA
Frauenschuh;Yatabe-F.;Cypripedium;C. yatabeanum;Z;NA;NA
Frauenschuh;Fächerblättriger F.;Cypripedium;C. japonicum;Z;NA;NA
Frauenschuh;Taiwan-F.;Cypripedium;C. formosanum;Z;NA;NA
Frauenschuh;Schwächlicher F.;Cypripedium;C. debile f.;Z;NA;NA
Frauenschuh;Rosablütiger F.;Cypripedium;C. acaule;Z;NA;NA
Frauenschuh;Büschelblütiger F.;Cypripedium;C. fasciculatum;Z;NA;NA
Frauenschuh;Königin-F.;Cypripedium;C. reginae;Z;NA;NA
Frauenschuh;Sperlingsei-F.;Cypripedium;C. passerinum;Z;NA;NA
Frauenschuh;Herztragender F.;Cypripedium;C. cordigerum;Z;NA;NA
Frauenschuh;Henry-F.;Cypripedium;C. henryi;Z;NA;NA
Frauenschuh;Gebänderter F.;Cypripedium;C. fasciolatum;Z;NA;NA
Frauenschuh;Marien-F.;Cypripedium;C. calceolus;Z;NA;W
Ständelwurz, Sitter;Germerblättrige S.;Epipactis;E. veratrifolia;Z;NA;NA
