Vernacular_name;Species;Genus;Author
Waldrebe;Brennende W., Mandel-W.;Clematis;L.
Waldrebe;Krugblütige W.;Clematis;L.
Waldrebe;Italienische W.;Clematis;L.
Waldrebe;Glockenblütige W.;Clematis;L.
Falscher Wanzensame;Falscher Wanzensame;NA;NA
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Gewöhnlicher W.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Pyrenäen-H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Weißer H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Herzblättriger H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Gekerbter H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Alpen-H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Eisenhutblättriger H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Platanenblättriger H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Scharbockskraut;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Schildblatt-H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Grasblättriger H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Zungen-H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Brennender H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Knolliger H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Konstantinopler H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Asiatischer H., Ranunkel-H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Illyrischer H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Balkanischer H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Tausendblättriger H.;Ranunculus;L.
Hahnenfuß, Wasserhahnenfuß, Scharbockskraut;Asiatischer H., Garten-Ranunkel;Ranunculus;L.
